data,lp,src,ref,pos,neg,pos.model,neg.model,bestmodel
newstest2019,en-fi,"""They will be allowed to return home once the water starts to recede,"" he said.","”He saavat palata koteihinsa, kun vesi alkaa laskea”, hän sanoi.","""Heidät sallivat palata koti kerran vesi alkaa recede, hän sanoi.","""He eivät saa palata kotiin, kun vettä alkaa väistyä"", hän sanoi.",HY-AH.4797,online-G.0,HY-AH.4797
newstest2019,en-fi,"""They will be allowed to return home once the water starts to recede,"" he said.","”He saavat palata koteihinsa, kun vesi alkaa laskea”, hän sanoi.","""He saavat palata kotiin, kun vesi alkaa heiketä,"" hän sanoi.","""He eivät saa palata kotiin, kun vettä alkaa väistyä"", hän sanoi.",online-A.0,online-G.0,online-A.0
newstest2019,en-fi,"In the Tangipahoa Parish city of Hammond, close to two dozen streets were closed because of high water, and sandbags were made available for pickup by residents hoping to keep water out of homes and businesses.","Tangipahoan piirikunnassa sijaitsevassa Hammondin kaupungissa parikymmentä katua suljettiin nousuveden vuoksi, ja asukkaat saivat noutaa hiekkasäkkejä yrittääkseen pitää veden pois kodeistaan ja liikkeistään.","Sisällä Tangipahoa Parish kaupunki koskien Hammond, loppu kohti kaksi tusina/tusina- väylät olemme sulkee takia korkealle vesi, ja sandbags olemme pedattu vapaa sillä nouto ohi asukkaat toivoo kopille vesi kotien ulos ja lafkat.",Tangipahoa kunnassa kaupungin Hammond läheiset kaksi tusinaa kadut suljettiin koska korkean veden ja hiekkasäkkien saatettiin pickup asukkaat haluavat säilyttää vesi pois kodeissa ja yrityksissä.,apertium-unconstrained.4769,online-A.0,apertium-unconstrained.4769
newstest2019,en-fi,Parish President Robby Miller said authorities rescued 72 people and seven pets stranded by high water.,"Piirikunnan puheenjohtaja, Robby Miller, sanoi, että viranomaiset pelastivat 72 ihmistä ja 7 lemmikkiä, jotka olivat jääneet nousuveden saartamiksi.",Seurakunta presidentti Robby Ray Miller sanoi viranomaiset pelastivat 72 ihmistä ja seitsemän lemmikkien jumiin korkean veden.,Puolan presidentti Robby Miller kertoi viranomaisten pelastaneen 72 ihmistä ja seitsemän lemmikkiä rantautunutta vesiin.,jhu-pbmt.4968,AaltoHnmtMultitask.4873,jhu-pbmt.4968
newstest2019,en-fi,"The salon is set for 2 p.m. to 4 p.m. on Aug. 21 in the Salle Moderne at the Art Deco Southwestern School of Law, (formerly Bullocks Wilshire), 3050 Wilshire Blvd.","Kokoontuminen pidetään elokuun 21. päivänä klo 14-16 Salle Modernessa Art Deco Southwestern School of Law -koulussa (entinen Bullocks Wilshire), 3050 Wilshire Blvd.","Salonki on asetettu kello 14.00-4.00 21. elokuuta Salle Modernessä Art Deco Southwestern School of Lawissa (entinen Bullocks Wilshire), 3050 Wilshire Blvd.","Saloon on asetettu kello 22.00 Aug kello Salle Salle Moderne Southwestern Southwestern Southwestern (entinen Bullocks Wilshire), 3050 Wilshire Blvd.",online-B.0,AaltoHnmtMultitask.4873,online-B.0
newstest2019,en-fi,A front-row seat to the stunning architecture of the Los Angeles Central Library,Ensimmäisen rivin paikka Los Angelsin Central Libraryn upeaan arkkitehtuuriin,Front-row paikka upealle Los angelesin arkkitehtuurille Central Kirjaston.,Los Angeles Central Library -myymälän Urheilusanomien arkkivihollinen paikkakunta,HY-AH.4797,AaltoHnmtFlatcat.4798,HY-AH.4797
newstest2019,en-fi,A front-row seat to the stunning architecture of the Los Angeles Central Library,Ensimmäisen rivin paikka Los Angelsin Central Libraryn upeaan arkkitehtuuriin,Eturintama paikka Los Angeles Keski-kirjaston hyökkäävälle arkkitehtuurille.,Los Angeles Central Library -myymälän Urheilusanomien arkkivihollinen paikkakunta,TALP-UPC.4939,AaltoHnmtFlatcat.4798,TALP-UPC.4939
newstest2019,en-fi,"Learn more about the history of downtown's Central Library as the Society of Architectural Historians/Southern California Chapter hosts a salon with Arnold Schwartzman and Stephen Gee, authors of the new book ""Los Angeles Central Library: A History of its Art and Architecture"" .","Opi lisää keskustan Central Library -kirjaston historiasta, kun Society of Architectural Historians -järjestön Southern California Chapter isännöi kokoontumista Arnold Schwartzmanin ja Stephen Geen kanssa. He ovat tuoreen ”Los Angeles Central Library: A History of its Art and Architecture” -kirjan kirjoittajat.","Lisää tietoa historian alakaupungin keskuskirjastoThe Society of Architectural historians/Southern California luku isäntien Laajasalon kanssa Arnold Schwartzman ja Stephen Gee kirjoittajaa, uusi kirja ""Los Angeles keskusLibrary:a History of Art and Architecture"".","Opettelin opetteli historian of the Architectural Library of the Architectural Library as the Architectural of Society historians and Southern Chapter Chapter a show with Arnold Schwartzman and Stephen Gee, Stephen of the new kirjan ”Los Angeles Central Library: A History of Architecture and Architecture”.",HY-SMT.4882,AaltoHnmtMultitask.4873,HY-SMT.4882
newstest2019,en-fi,"The fire master on duty interviewed by Karjalainen, Markus Viitaniemi, tells that the situation had all the ingredients for a disaster.","Karjalaisen haastattelema päivystävä palomestari Markus Viitaniemi kertoo lehdelle, että tilanteessa oli ainekset suuronnettomuuteen.","Tulipalon mestarin paikalla kuultavana Karjalainen, Markus Viitaniemi, kertoo, että tilanne oli kaikki katastrofin ainekset.","Tuli isäntä työvuorossa kanssa karjalaisen haastatellut, Markus Viitaniemia, kertoo, että tilanteella oli kaikki ainekset katastrofia varten.",jhu-nmt-lattice-rescore.4903,HY-AH.4797,jhu-nmt-lattice-rescore.4903
newstest2019,en-fi,"According to the newspaper, the future of the event hangs in the balance.",Lehden mukaan tapahtuman jatko on vaakalaudalla.,Lehden mukaan mukaan tapahtuman tulevaisuus on vaakalaudalla.,Sanomalehtien mukaan tapahtuman tulevaisuus on tasapainossa.,jhu-nmt-lattice-rescore.4903,TALP-UPC.4939,jhu-nmt-lattice-rescore.4903
